Meme,ExpectedQueries,Meaning,Context,Example,AntiPattern,Origin,SafetyLevel,TargetAge,Tone,Category
킹받네,"열받네, 킹받다 뜻, 짜증나, 어이없음",'열받네'에 'King(왕)'을 붙여 '진짜 열받네'를 뜻함. 주로 어이없거나 얄미운 상황에 유머러스하게 사용.,"친구가 킹킹대며 놀릴 때나, 상황이 꼬여서 짜증은 나는데 웃음도 나올 때 가볍게 사용.","""아, 저 말투 진짜 킹받네 ㅋㅋ"", ""날씨 왜 이래? 킹받게.""",진심으로 화가 난 심각한 상황에서 쓰면 상황을 가볍게 여기는 것으로 보여 오해를 살 수 있음.,웹툰 작가 침착맨(이말년)이 사용하며 대중화된 '킹~' 접두사 시리즈의 대표 격.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 유머러스한 짜증 표현임.,[10-30대] 가벼운 농담을 즐기는 세대.,"유머, 짜증, 리액션","신조어, 일상"
쿠쿠루삥뽕,"비웃음, 도네이션 목소리, 쿠쿠루삥뽕 뜻, 얄미운 웃음",특별한 뜻 없이 상대를 얄밉게 비웃거나 놀릴 때 쓰는 의성어.,"게임에서 상대를 이겼을 때나, 친구가 실수했을 때 킹받게(얄밉게) 놀리려는 목소리로 사용.","""메롱이다 쿠쿠루삥뽕!"", ""아무것도 못 하쥬? 쿠쿠루삥뽕~""",상대가 진지한 상황일 때 쓰면 '인성 논란'이 일어날 정도로 큰 분노를 유발할 수 있으니 주의.,트위치 도네이션 읽어주는 AI 음성 중 '찬구'의 웃음소리를 텍스트로 구현한 것에서 유래.,[낀세대: Danger] [외국인: Caution] [복학생: Caution] 상대방을 자극하는 뉘앙스가 강함.,[10대: 주사용층] 초중고 학생들 사이의 대표적인 놀림 밈.,"조롱, 장난, 얄미움","SNS, 게임"
알빠노,"내 알 바 아님, 알빠임, 무관심, 롤 밈, 알빠노 유래","""내가 알 바 아니다""라는 뜻으로, 타인의 고통이나 상황에 대해 냉소적으로 선을 긋는 표현.","누군가 불평을 할 때 ""그게 나랑 무슨 상관인데?""라는 태도를 보이고 싶을 때 사용.","""그건 네가 선택한 거잖아, 알빠노?"", ""서버 터졌다고? 난 게임 안 하니까 알빠노.""",[극주의] 극도로 냉소적이고 이기적으로 보일 수 있으므로 사용 시 인간관계가 단절될 각오를 해야 함.,"게임 '리그 오브 레전드' 커뮤니티에서 유래했으며, 냉소적 개인주의를 대변하는 밈.",[낀세대: Danger] [외국인: Danger] [복학생: Danger] 무례함의 끝판왕 밈임.,[10-20대] 온라인 커뮤니티 이용자.,"냉소, 무관심, 단호","인간관계, 인터넷문화"
누칼협,"누가 칼 들고 협박함, 내로남불, 본인선택, 냉소","""누가 칼 들고 협박했냐?""의 줄임말. 본인이 선택한 일의 부작용을 불평하지 말라는 냉소적 반응.","공무원이 월급 적다고 한탄하거나, 투자 실패 후 하소연할 때 ""그거 네 선택이잖아""라며 조롱할 때 사용.","""공부하기 싫다고? 누칼협? 네가 대학 간다며.""",사회 구조적 문제를 개인의 탓으로 돌리는 위험한 논리이므로 공식석상에선 절대 금기어.,온라인 커뮤니티에서 책임 회피나 개인의 선택을 강조하며 상대의 입을 막기 위해 시작됨.,[낀세대: Danger] [외국인: Danger] [복학생: Danger] 공감 능력 결여로 보일 위험 큼.,[10-30대] 냉소적인 인터넷 여론 중심.,"조롱, 냉소, 단절","인터넷문화, 사회문제"
힘숨찐,"힘을 숨긴 찐따, 숨은 고수, 반전 매력, 먼치킨",힘을 숨긴 찐따(소외자)'의 줄임말. 겉보기엔 약해 보이지만 실제로는 엄청난 실력자나 부자인 경우.,"평범해 보이던 동료가 사실은 건물주였다거나, 조용하던 친구가 게임 랭킹 1위인 것을 알게 되었을 때 사용.","""우리 과장님 노래 실력 뭐야? 완전 힘숨찐이었네!"", ""이 가방 낡아 보이는데 500만 원이라고? 힘숨찐 템이네.""","'찐따'라는 비하어가 포함되어 있으므로, 칭찬의 의미라 하더라도 공식적인 자리에서는 사용 주의.",판타지 소설이나 애니메이션에서 약한 주인공이 갑자기 각성하는 클리셰에서 유래.,[낀세대: Caution] [외국인: Safe] [복학생: Safe] '찐따' 단어 사용에만 유의.,[10-30대] 서브컬처 및 게임 유저.,"반전, 감탄, 위트","서브컬처, 인물"
돔황챠,"도망쳐 뜻, 주식 돔황챠, 코인 떡락, 돔황챠 유래",도망쳐'를 급하게 발음한 것. 주로 주식이나 코인 가격이 급락할 때 탈출하라는 신호.,"투자 자산의 가치가 떨어지기 시작할 때 커뮤니티에서 ""지금이라도 팔고 나가라""며 장난스럽게 외칠 때 사용.","""비트코인 차트 왜 이래? 다들 돔황챠!""",진지한 재난 상황이나 사고 현장에서 사용하면 상황을 희화화하는 것으로 보여 매우 부적절함.,디시인사이드 주식 갤러리 등에서 급박한 상황을 오타처럼 표현하며 유행.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 유머러스한 경고임.,[20-40대] 투자에 관심 있는 경제 활동 인구.,"급박, 유머","경제, 투자"
영끌,"영혼까지 끌어모으다, 영끌 대출, 영끌족 뜻",영혼까지 끌어모으다'의 줄임말. 가용한 모든 수단을 동원해 대출을 받아 집을 사거나 투자하는 행위.,부동산 가격 급등기에 대출 한도 끝까지 돈을 마련하여 내 집 마련을 하는 사람들의 상황을 묘사.,"""이번에 영끌해서 아파트 샀는데 금리 올라서 걱정이야.""","무리한 투자를 비꼴 때 쓰이기도 하므로, 상대의 경제적 어려움을 조롱하는 용도로 쓰지 않게 주의.",2020년 전후 부동산/주식 열풍 속에서 자산 마련의 절박함을 표현하며 등장.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 일반적인 경제 용어로 정착.,[20-40대] 내 집 마련이 화두인 청장년층.,"절박, 현실적","경제, 사회현상"
벼락거지,"벼락거지 유래, 상대적 박탈감, 부동산 벼락거지",본인의 소득은 그대로인데 자산 가치가 급등하여 상대적으로 빈곤해진 사람을 일컫는 자조적 표현.,"집값이 폭등할 때 집이 없는 사람들이 느끼는 박탈감을 표현하거나, 투자를 하지 않아 손해 본 기분을 설명할 때 사용.","""주식 안 하고 예금만 했더니 나만 벼락거지 된 기분이야.""","타인을 지칭하여 ""너 벼락거지네""라고 하는 것은 심각한 모욕이며 경제적 비하가 될 수 있음.","'벼락부자'의 반대 개념으로, 자산 인플레이션 시대의 사회적 소외감을 반영하여 탄생.",[낀세대: Caution] [외국인: Caution] [복학생: Caution] 비하의 소지가 있음.,[20-40대] 자산 격차에 민감한 세대.,"자조, 한탄","경제, 사회문제"
퐁퐁남,"설거지론, 퐁퐁남 뜻, 퐁퐁남 유래","연애 경험이 적은 남성이 경제력을 갖춘 후, 과거가 화려한 여성과 결혼해 가사/경제적 주도권을 뺏긴 상황을 비하하는 혐오 표현.","온라인 커뮤니티에서 특정 결혼 생활을 비방하거나, 남성을 '설거지나 하는 존재'로 비하할 때 사용.","""그 형 결혼하고 용돈 10만 원 받는대. 완전 퐁퐁남 아냐?""","[극주의] 특정 성별 및 결혼 제도를 심각하게 비하하는 단어로, 혐오 표현에 해당하므로 절대 사용 금지.",2021년 디시인사이드에서 시작된 '설거지론'에서 파생된 여성 혐오 및 남성 비하적 신조어.,[낀세대: Danger] [외국인: Danger] [복학생: Danger] 사회적 갈등 유발 단어.,[20-30대] 특정 커뮤니티 이용자.,"비하, 냉소","혐오표현, 인간관계"
퐁퐁녀,"퐁퐁남 여성 버전, 퐁퐁녀 뜻, 맞벌이 비하","퐁퐁남의 여성 버전으로, 경제력 없는 남편을 부양하며 가사까지 전담하는 여성을 비하하거나 조롱하는 표현.","독신 주의자들이 기혼 여성을 비방하거나, 불행한 결혼 생활을 자극적으로 묘사할 때 사용.","""맞벌이하면서 독박 육아까지 하면 그게 바로 퐁퐁녀지.""","[극주의] 성별 갈등을 조장하고 가사 노동의 가치를 훼손하는 단어로, 사용 시 심각한 비난을 받을 수 있음.",퐁퐁남 담론이 확산되면서 이에 대응하거나 변형되어 나타난 비하어.,[낀세대: Danger] [외국인: Danger] [복학생: Danger] 혐오 표현 주의.,[20-30대] 성별 갈등에 민감한 층.,"비하, 냉소","혐오표현, 인간관계"
거거익선,"크면 클수록 좋다, 가전 거거익선, TV 사이즈","클수록 더 좋다'는 뜻. 주로 TV, 냉장고, 모니터 등 가전제품의 크기를 선택할 때 사용함.",큰 화면의 TV나 넓은 집 등 물리적 크기가 주는 만족감이 클 때 사자성어 '다다익선'을 변형해 사용.,"""TV는 거거익선이라더니 85인치 사길 잘했어.""","모든 상황에 적용되지 않으며(예: 휴대성), 과소비를 정당화하는 논리로만 쓰지 않도록 주의.",가전제품 대형화 트렌드와 함께 IT 커뮤니티에서 사용되며 대중화됨.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 유익한 쇼핑 조언임.,[전 연령대] 가전 및 인테리어 관심층.,"긍정, 확신","라이프스타일, 쇼핑"
선넘네,"선 넘네 뜻, 무례함, 도를 넘다",상대방의 농담이나 행동이 적정 수준(선)을 벗어나 무례하게 느껴질 때 경고하는 표현.,"장난이 지나쳐 기분이 나빠지려 할 때나, 사회적 통념에 어긋나는 행동을 보았을 때 정색하며 사용.","""그 농담은 좀 선넘네. 사과해.""","웃으며 가볍게 쓸 수도 있지만, 진지하게 쓰면 관계 단절의 신호가 되므로 상황 파악이 중요함.",인간관계의 '심리적 경계'를 '선'으로 비유한 관용구가 밈화되어 정착.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 감정 표현에 유용함.,[전 연령대] 대인관계 스트레스를 겪는 모든 층.,"경고, 단호, 진지","인간관계, 리액션"
까비,"아깝다 줄임말, 까비 뜻, 나이스 까비",아깝다'의 줄임말. 목표를 아주 근소한 차이로 놓쳤을 때 쓰는 가벼운 감탄사.,"게임에서 적을 거의 다 잡았을 때나, 퀴즈 정답을 아쉽게 틀렸을 때 동료를 위로하거나 본인의 아쉬움을 표현.","""아! 한 대만 더 때리면 되는데, 까비!""",너무 큰 실패나 비극적인 상황에 '까비'라고 하면 진정성이 없어 보이고 가볍게 들릴 수 있음.,'아깝다' -> '아까비' -> '까비'로 축약되며 게임 채팅 문화에서 확산됨.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 친근한 리액션.,[전 연령대] 게임 및 가벼운 내기를 즐기는 층.,"아쉬움, 유쾌","게임, 리액션"
국룰,"국민 룰, 당연한 규칙, 삼겹살 볶음밥 국룰",국민 룰(Rule)'의 줄임말. 보편적으로 통용되는 규칙이나 대다수가 동의하는 관습.,"""삼겹살 먹고 볶음밥은 국룰이지""처럼 특정 상황에서 당연히 해야 하는 행동을 강조할 때 사용.","""치킨에 맥주는 국룰이지, 이건 반박 불가야.""","법적인 강제성이 있는 것처럼 말하면 안 되며, 개인의 취향을 존중하지 않는 강요로 들리지 않게 주의.",게임 내의 암묵적 규칙에서 시작되어 일상의 보편적 취향을 일컫는 단어로 확장.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 공감대 형성에 최고.,[전 연령대] 한국적 식문화나 생활 습관을 공유하는 층.,"공감, 확신","라이프스타일, 문화"
긁?,"긁혔니 뜻, 긁혔다 유래, 긁?, 긁혔네","상대방의 약점을 건드려 화나게 했을 때, ""화났어? (자존심 긁혔어?)""라고 도발하는 극도로 짧은 의문문.",상대가 내 말에 반박하거나 불쾌해할 때 그를 조롱하며 기선을 제압하기 위해 사용.,"""너 지금 긁? 왜 이렇게 화를 내?""","[극주의] 상대의 감정을 대놓고 조롱하는 표현으로, 사용 시 즉각적인 싸움으로 번질 확률이 매우 높음.",온라인 커뮤니티에서 '마음에 상처를 입다(긁히다)'라는 표현을 한 글자로 줄여 조롱용으로 사용.,[낀세대: Danger] [외국인: Danger] [복학생: Danger] 조롱 및 분노 유발 표현.,[10-20대] 커뮤니티 및 게임 유저.,"조롱, 도발, 냉소","인터넷문화, 인간관계"
캘박,"캘린더 박제, 일정 등록, 약속 확정",캘린더 박제'의 줄임말. 중요한 약속이나 일정을 잊지 않도록 달력에 기록해두는 행위.,"친구와 약속을 잡은 직후 ""나 지금 캘박했어. 늦으면 안 돼!""라며 확답을 줄 때 사용.","""다음 주 금요일 저녁 7시, 캘박 완료! 그때 보자.""",약속이 확정되지 않았는데 강요하듯 '캘박'이라고 하면 상대가 부담을 느낄 수 있음.,스마트폰 캘린더 앱 사용이 일상화되면서 '박제(고정)'한다는 표현과 결합.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 사회생활 시 매우 유용.,[10-30대] 스마트폰 일정 관리에 익숙한 세대.,"약속, 신뢰, 철저함","라이프스타일, 시간관리"
저메추,"저녁 메뉴 추천, 저메추 해줘, 오늘 뭐 먹지",저녁 메뉴 추천'의 줄임말.,오늘 저녁에 무엇을 먹을지 고민될 때 지인이나 SNS 팔로워들에게 가볍게 물어보는 말.,"""배고픈데 저메추 좀 해줄 사람? 선택장애 왔어.""","너무 자주 물어보면 결정 장애로 보일 수 있으며, 답변해준 메뉴를 매번 거절하면 무례할 수 있음.",점메추(점심 메뉴 추천)와 함께 1인 가구 및 커뮤니티의 소통 방식으로 자리 잡음.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 소통을 시작하기 좋은 단어.,[전 연령대] 매일 메뉴 선택의 고민을 하는 현대인.,"친근, 질문","일상, 음식"
나야들기름,"나야 들기름 뜻, 최강록 밈, 나야 개기름, 나야 캡사이신, 흑백요리사 나야","특정 대상이나 주인공을 강조할 때 쓰는 ""나야, [대상]"" 형식의 문장 밈.",자신이 준비한 핵심 요소나 본인의 정체성을 엉뚱하면서도 확실하게 각인시키고 싶을 때 사용.,"""이 떡볶이의 매운맛... 나야, 캡사이신!"", ""오늘 퇴근의 주인공은... 나야, 야근!""","단순히 ""나야""라고만 하면 밈의 맛이 살지 않으며, 반드시 뒤에 핵심 명사를 붙여 최강록 셰프 특유의 톤을 살려야 함.","넷플릭스 <흑백요리사>에서 최강록 셰프가 본인의 요리를 ""나야, 들기름""이라고 소개한 엉뚱한 대사에서 유래.",[낀세대: Safe] [외국인: Safe] [복학생: Safe] 유쾌하고 자신감 있는 표현.,[20-40대] 흑백요리사 열풍을 공유하는 전 세대.,"엉뚱, 자신감, 강조","미디어, 요리, 유행어"
익힘정도,"고기 익힘 정도, 안성재 밈, 채소의 익힘, 흑백요리사 심사",완성도'나 '준비 상태'를 평가할 때 쓰는 말. 아주 까다롭고 전문적인 잣대를 들이댈 때 사용.,"프로젝트 검토 중 사소한 디테일을 지적하거나, ""이거 익힘 정도가 적당하지 않네요""라며 안성재 셰프의 심사평을 패러디함.","""대리님, 이 보고서는 데이터의 익힘 정도가 부족한데요?""",진지하게 성과를 비판해야 하는 자리에서 남발하면 심사위원 놀이를 하는 것처럼 보여 무례할 수 있음.,"'흑백요리사' 심사위원 안성재의 깐깐한 심사 기준과 ""채소의 익힘 정도가~""라는 대사가 밈이 됨.",[낀세대: Safe] [외국인: Safe] [복학생: Safe] 유머러스한 비평임.,[전 연령대] 직장인들 사이에서 평가용 밈으로 인기.,"단호, 전문적, 유머","미디어, 평가"
희진적사고,"민희진 사고방식, 희진적 사고 뜻, 정면돌파, 맞짱",어떤 위기나 압박 속에서도 '기죽지 않고 정면으로 맞서 싸우는 당당한 사고방식'.,"억울한 일을 당했거나 압박을 받을 때, ""어차피 내가 이길 건데?""라는 식으로 거침없이 독설하거나 당당하게 굴 때 사용.","""상사가 뭐라 해도 희진적 사고로 정면돌파한다. 내가 맞으니까!""","'원영적 사고(초긍정)'와 정반대이므로, 무작정 긍정하는 상황에 쓰지 않도록 주의.",민희진 대표의 기자회견 속 거침없는 발언과 당당한 태도가 대중에게 카타르시스를 주며 밈화됨.,[낀세대: Caution] [외국인: Safe] [복학생: Safe] 공격적일 수 있음.,[20-30대] 직장 생활이나 사회적 압박에 저항하는 세대.,"당당, 독설, 정면돌파","마인드셋, 사회문제"
농협은행,"농협은행 뜻, 너무 예쁘네, 편의점 밈, 외국인 농협은행","""너무 예쁘네""를 발음이 비슷한 '농협은행'으로 치환하여 부르는 칭찬 밈.","정말 예쁜 것을 보았을 때 정색하며 ""와... 진짜 농협은행이다""라고 말해 상대가 은행 위치를 묻게 만드는 장난.","""너 오늘 코디 진짜 농협은행인데? (상대: 어? 농협 어디?) 아니, 너무 예쁘다고!""",실제 은행 업무를 보는 상황에서 쓰면 심각한 의사소통 오류를 유발함.,"한 외국인이 편의점 알바생에게 ""너무 예쁘네요""라고 한 발언을 알바생이 ""농협은행이 어디냐""로 오해한 썰에서 유래.",[낀세대: Safe] [외국인: Danger] [복학생: Safe] 외국인에겐 혼란을 줌.,[10-20대] 귀여운 언어유희를 즐기는 세대.,"귀여움, 반전, 칭찬","유행어, 일상"
테무인간,"테무 인간 뜻, 어설픈 외모, 테무에서 산 정우성, 테무에서 산 OO, 연예인과 어설프게 닮은 사람","열심히 하지만 어딘가 어설프고 저품질(가성비) 느낌을 주거나, 몹시 지쳐 보이는 현대인을 비유하는 말.","본인이 오늘따라 실수가 잦고 초췌할 때 자조적으로 사용하거나, 유명인을 닮았지만 2% 부족한 사람을 지칭할 때 사용. 저렴한 가격 때문에 품질이 기대 이하인 테무 제품처럼, 노력 대비 결과물이 아쉬운 상황이나 사람을 유머러스하게 표현할 때 사용","""밤샘 작업했더니 몰골이 완전 테무인간이네."", ""야, 너 오늘 좀 테무인간 같다? 가서 좀 쉬어.""","타인에게 ""너 테무인간 같다""고 무분별하게 말하면 '싸구려 같다'는 비하로 들릴 수 있으니 주의.","초저가 플랫폼 '테무(Temu)'의 광고와 실제 품질 차이에서 유래하여, 피곤한 현대인의 모습으로 확장됨.",[낀세대: Safe] [외국인: Safe] [복학생: Safe] 자조적 유머임.,[20-40대] 피로에 찌든 직장인 및 현대인.,"자조, 해학, 피로","라이프스타일, 사회현상"
삐끼삐끼,"삐끼삐끼 춤, 기아 타이거즈 이주은, 아웃 챌린지",기아 타이거즈 치어리더 이주은이 춘 '아웃 선언 시 추는 무심한 춤'.,"무심하고 시크하게 고개를 까딱거리며 손동작을 하는 상황이나, 누군가를 탈락(아웃)시킬 때 사용.","""너 방금 말실수했어. 아웃! (삐끼삐끼 춤을 추며)""","스포츠 팀의 자축 밈이므로, 상대 팀 팬 앞이나 진지한 실패 상황에서 쓰면 무례함.",기아 타이거즈의 '아웃송' 안무가 틱톡/릴스에서 '무심한 예쁨'으로 대박이 나며 전 세계 유행.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 중독성 있는 댄스 밈.,[전 연령대] 야구 팬 및 숏폼 이용자.,"무심, 시크, 중독성","스포츠, 댄스"
잘자요아가씨,"야레야레, 다나카 밈, 집사 밈, ASMR 밈","""늦게까지 안 자고 스마트폰 보는 아가씨(혹은 유저)를 훈계하며 재우는"" 집사 컨셉의 밈.","밤늦게 SNS를 하는 친구에게 ""이제 그만 자요 아가씨""라고 댓글을 달거나 오글거리는 집사 말투를 흉내 낼 때 사용.","""아직 안 자고 인스타 해요? 못말리는 아가씨네. 잘자요 아가씨.""",상대가 이 밈을 모르면 변태적이거나 너무 오글거리는 사람으로 오해받기 딱 좋음.,ASMR 크리에이터들이나 코미디언들이 '집사' 컨셉으로 밤늦게 깨어있는 팬들을 공략하며 유행.,[낀세대: Caution] [외국인: Danger] [복학생: Caution] 오해의 소지 다분.,[10-20대] 서브컬처 및 집사 컨셉 유머 팬.,"오글거림, 집착, 코믹","캐릭터, SNS"
야레야레,"야레야레 뜻, 못말리는, 어쩔 수 없군, 일본어 밈",일본어로 '이런이런' 혹은 '어쩔 수 없군'이라는 뜻. 주로 오글거리는 '애니메이션 주인공' 말투로 쓰임.,"친구의 엉뚱한 행동을 보고 손등으로 이마를 짚으며 ""야레야레... 못말리는 녀석이군""이라며 과장되게 반응할 때 사용.","""야레야레, 내가 아니면 누가 널 챙기겠니?""",일본어 투의 오타쿠적 표현이므로 진지한 비즈니스 대화에서는 절대 금지.,일본 애니메이션의 전형적인 대사가 한국의 '집사 밈'이나 '중2병 밈'과 결합되어 재발굴됨.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 서브컬처 유머임.,[10-20대] 애니/만화 문화를 즐기는 층.,"오글거림, 능청, 유머","유행어, 서브컬처"
하룰라라,"하룰라라 뜻, 하늘나라 귀엽게, 기분 좋을 때",하늘나라'를 귀엽게 발음한 것. 기분이 너무 좋아 날아갈 것 같은 상태를 뜻하는 긍정 추임새.,"맛있는 것을 먹거나 좋은 곳에 가서 텐션이 극도로 높아졌을 때 ""기분 완전 하룰라라~""라고 외치며 사용.","""와, 이 디저트 한 입 먹으니까 바로 하룰라라다!""",상황이 좋지 않은데 '하룰라라'라고 하면 맥락 파악 못 하는 사람으로 보일 수 있음.,틱톡 등 숏폼 플랫폼에서 기쁨을 극대화하여 표현하는 의성어로 탄생.,[낀세대: Safe] [외국인: Safe] [복학생: Caution] 과한 텐션 주의.,[10-20대] 숏폼 콘텐츠 주사용층.,"발랄, 고텐션, 귀여움","SNS, 유행어"
저숭라라,"저숭라라 뜻, 저승 귀엽게, 나락, 망했을 때",저승'을 귀엽게 발음한 것. 상황이 매우 좋지 않거나 망했을 때(나락)를 익살스럽게 표현함.,"시험을 망쳤거나 창피한 일을 당했을 때, ""나 지금 기분 완전 저숭라라야""라며 자폭할 때 사용.","""주식 차트 파란불 실화냐... 기분 저숭라라네.""",실제 누군가의 죽음이나 심각한 비극 상황에 사용하면 대단히 무례하므로 절대 금기.,"'하룰라라'의 반대 개념으로, 최악의 상황을 귀엽게 풍자하며 틱톡에서 파생됨.",[낀세대: Caution] [외국인: Danger] [복학생: Caution] 상황 판단 필수.,[10-20대] 숏폼 콘텐츠 주사용층.,"냉소, 자조, 익살","SNS, 유행어"
궁전으로갈수도있어,"궁전 밈, 깊은 밤을 날아서, 황홀한 기분, 이문세 노래 밈",너무 행복하고 만족스러워 현실 감각이 사라질 정도로 황홀한 상태를 표현하는 말.,"멋진 뷰를 보거나 최고의 공연을 관람할 때, 꿈을 꾸는 듯한 기분을 과장되게 나타낼 때 사용.","""오늘 한강 노을 미쳤다... 나 지금 궁전으로 갈 수도 있어~""",단순히 '어디로 간다'는 이동의 의미가 아니라 '무아지경의 행복'이라는 은유임을 이해해야 함.,"이문세의 곡 '깊은 밤을 날아서' 가사가 재조명되며, 하룰라라 밈과 연관되어 역주행함.",[낀세대: Safe] [외국인: Safe] [복학생: Safe] 낭만적이고 긍정적임.,[전 연령대] 뉴트로 감성과 틱톡 감성을 동시에 향유하는 층.,"황홀, 낭만, 행복","음악, 리액션"
햄부기온앤온,"햄부기 뜻, 이수지 밈, 햄버거 온앤온, 햄부기 유래","개그우먼 이수지의 부캐나 영상에서 유래된 밈으로, 햄버거(햄부기)를 소재로 한 중독성 있는 드립.","햄버거를 먹고 싶거나, 햄버거 관련 리액션을 할 때 이수지의 유머러스한 말투와 제스처를 따라 하며 사용.","""오늘 점심은 햄부기온앤온? 완전 맛있겠다!""",음식 이름의 단순 변형이 아니라 특정 연예인의 희극적 맥락이 담겨 있음을 인지해야 함.,개그우먼 이수지가 '햄버거'를 '햄부기'로 부르며 보여준 코믹한 영상 콘텐츠가 화제가 되어 정착.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 즐거운 먹방 밈.,[전 연령대] 개그 프로그램 및 숏폼 시청자.,"유쾌, 코믹, 식탐","미디어, 음식"
섹시푸드,"섹시푸드 뜻, 비주얼 대박 음식, 군침 도는 음식 ,섹시푸드 뜻, 비주얼 깡패 음식, 앤믹스 해원 섹시푸드, 김남길 유행어","비주얼이 너무 강렬하거나 맛이 자극적이어서 '치명적인 매력'이 느껴지는 음식을 뜻함. ,시각적 매력, 맛, 식감, 분위기까지 완벽하여 '치명적으로 매력적인' 음식을 뜻하는 과장된 감탄사.","치즈가 폭발하거나 소스가 화려하게 뿌려진 음식을 사진 찍으며 ""이게 진짜 섹시푸드지""라고 감탄할 때 사용. ,단순히 '맛있다'는 말로는 부족할 만큼 음식의 비주얼과 퀄리티가 압도적일 때 그 매력을 극대화하여 표현함.","""와, 이 스테이크 육즙 봐. 완전 섹시푸드 그 자체네."" ,""이 치즈 폭포 좀 봐... 진심 섹시푸드 그잡채다."" / ""이 스테이크 플레이팅은 진짜 섹시푸드네.""","실제 성적인 맥락과는 전혀 관계없으나, 단어 자체에 '섹시'가 포함되어 오해할 여지가 있는 자리는 피할 것. ,야하다'는 부정적 의미가 아니므로, 성적인 맥락으로 오해하여 사용하거나 받아들이지 않도록 주의.","음식의 비주얼을 극찬할 때 쓰는 'Food Porn'의 한국식 밈 버전 혹은 트렌디한 표현. ,가수 엔믹스 해원, 배우 김남길 등이 사용하며 아이돌 팬덤과 숏폼 콘텐츠를 통해 확산됨.","[낀세대: Safe] [외국인: Caution] [복학생: Safe] 단어 선택에 유의. ,[낀세대: Safe] / [외국인: Caution] / [복학생: Safe]","[20-30대] 인스타그램 맛집 인증러. ,10대 ~ 30대","감탄, 화려함, 유머 ,감탄, 매혹적, 트렌디","음식, 라이프스타일 ,음식, 감탄사"
이건첫번째레슨,"첫 번째 레슨 밈, 유노윤호 땡큐, 레슨 완료, 일희일비 않기","2021년 유노윤호의 곡 'Thank U' 가사로, 인생의 교훈을 주는 척하며 장난치거나 기선제압을 할 때 쓰는 밈.","친구에게 훈수를 두거나, 본때를 보여준 뒤 ""이건 첫 번째 레슨, 좋은 건 너만 알기""라며 가사를 읊음.","""내기 져서 속상해? 이건 첫 번째 레슨, 일희일비 않기!""",진지한 충고 상황에서 쓰면 상대를 비꼬는 것처럼 들릴 수 있으니 가벼운 장난 상황에서만 쓸 것.,2021년 발매된 유노윤호의 'Thank U'가 2025년 숏폼에서 '열정 만수르' 이미지와 결합해 역주행.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 열정적이고 유머러스함.,[20-30대] 유노윤호의 열정 서사를 알고 있는 세대.,"당당, 열정, 가르침","음악, 인간관계"
우리애자랑좀할테니까,"내 남자친구 자랑, 커플 챌린지, 댓글 예쁘게 써라, My boyfriend wants to show you","소중한 사람(연인, 자녀, 반려견)의 소소한 장점을 자랑하기 전, 칭찬을 강요(?)하는 귀여운 선언.","연인의 엉뚱한 취미나 반려동물의 귀여운 모습을 보여주기 전 ""댓글 예쁘게 써라?""라며 장난스럽게 압박함.","""우리 애(강아지) 자랑 좀 할 테니까, 다들 댓글 예쁘게 써라? 간식 기다리는 거 봐.""","자랑이 너무 길어지면 밈의 재미가 반감되므로, 상대가 '멋지다'고 해줄 틈을 주는 것이 포인트.",해외 틱톡의 'My boyfriend wants to show you' 챌린지가 한국식 말투(테토녀 등)와 결합되어 유행.,[낀세대: Safe] [외국인: Safe] [복학생: Safe] 따뜻하고 훈훈한 챌린지.,[10-30대] SNS 커플 및 반려동물 가족.,"따뜻, 애정, 당당","SNS, 가족/연인"
텍스트힙,"독서 유행, 텍스트힙 뜻, 종이책 읽기, 지적인 멋",글을 읽는 것(Text)이 멋지다(Hip)는 뜻. 독서를 힙한 문화로 즐기는 현상.,"SNS에 읽고 있는 책의 구절을 올리거나, 종이책을 들고 다니며 본인의 지적인 취향을 과시할 때 사용.","""요즘 내 취미는 독서야. 완전 텍스트힙이지?""",책을 읽지 않으면서 설정샷만 찍는 '보여주기식'을 비꼴 때 쓰이기도 하니 진정성 있는 태도가 중요.,숏폼 시대에 역설적으로 활자 읽기가 지적인 개성으로 떠오르며 2024-25년 핵심 트렌드로 정착.,[낀세대: Safe] [외국인: Safe] 매우 권장되는 문화.,[20-30대] 자기계발과 취향을 중시하는 층.,"지적임, 세련됨","라이프스타일, 독서"
